stream,packet_length,timestamp,source_ip,destination_ip,time_difference,direction
0,36,2026-02-13 11:18:24.755479,192.168.56.102,192.168.56.103,0.022574,client to server
0,36,2026-02-13 11:18:24.756113,192.168.56.103,192.168.56.102,0.000634,server to client
0,0,2026-02-13 11:18:24.837953,192.168.56.102,192.168.56.103,0.08184,client to server
0,36,2026-02-13 11:18:24.837955,192.168.56.102,192.168.56.103,2e-06,client to server
0,36,2026-02-13 11:18:24.839652,192.168.56.103,192.168.56.102,0.001697,server to client
0,0,2026-02-13 11:18:24.842070,192.168.56.102,192.168.56.103,0.002418,client to server
0,36,2026-02-13 11:18:24.919435,192.168.56.102,192.168.56.103,0.077365,client to server
0,36,2026-02-13 11:18:24.920201,192.168.56.103,192.168.56.102,0.000766,server to client
0,0,2026-02-13 11:18:24.924732,192.168.56.102,192.168.56.103,0.004531,client to server
0,36,2026-02-13 11:18:24.998932,192.168.56.102,192.168.56.103,0.0742,client to server
0,36,2026-02-13 11:18:24.999876,192.168.56.103,192.168.56.102,0.000944,server to client
0,0,2026-02-13 11:18:25.004139,192.168.56.102,192.168.56.103,0.004263,client to server
0,36,2026-02-13 11:18:25.059826,192.168.56.102,192.168.56.103,0.055687,client to server
0,36,2026-02-13 11:18:25.060725,192.168.56.103,192.168.56.102,0.000899,server to client
0,0,2026-02-13 11:18:25.064514,192.168.56.102,192.168.56.103,0.003789,client to server
0,36,2026-02-13 11:18:25.084395,192.168.56.102,192.168.56.103,0.019881,client to server
0,36,2026-02-13 11:18:25.085070,192.168.56.103,192.168.56.102,0.000675,server to client
0,36,2026-02-13 11:18:25.107720,192.168.56.102,192.168.56.103,0.02265,client to server
0,36,2026-02-13 11:18:25.108900,192.168.56.103,192.168.56.102,0.00118,server to client
0,36,2026-02-13 11:18:25.133693,192.168.56.102,192.168.56.103,0.024793,client to server
0,36,2026-02-13 11:18:25.134153,192.168.56.103,192.168.56.102,0.00046,server to client
0,36,2026-02-13 11:18:25.162318,192.168.56.102,192.168.56.103,0.028165,client to server
0,36,2026-02-13 11:18:25.163414,192.168.56.103,192.168.56.102,0.001096,server to client
0,36,2026-02-13 11:18:25.183429,192.168.56.102,192.168.56.103,0.020015,client to server
0,36,2026-02-13 11:18:25.184167,192.168.56.103,192.168.56.102,0.000738,server to client
0,36,2026-02-13 11:18:25.204459,192.168.56.102,192.168.56.103,0.020292,client to server
0,36,2026-02-13 11:18:25.204818,192.168.56.103,192.168.56.102,0.000359,server to client
0,36,2026-02-13 11:18:25.236568,192.168.56.102,192.168.56.103,0.03175,client to server
0,36,2026-02-13 11:18:25.236998,192.168.56.103,192.168.56.102,0.00043,server to client
0,36,2026-02-13 11:18:25.257940,192.168.56.102,192.168.56.103,0.020942,client to server
0,36,2026-02-13 11:18:25.259132,192.168.56.103,192.168.56.102,0.001192,server to client
0,36,2026-02-13 11:18:25.288893,192.168.56.102,192.168.56.103,0.029761,client to server
0,36,2026-02-13 11:18:25.293511,192.168.56.103,192.168.56.102,0.004618,server to client
0,36,2026-02-13 11:18:25.313066,192.168.56.102,192.168.56.103,0.019555,client to server
0,36,2026-02-13 11:18:25.313828,192.168.56.103,192.168.56.102,0.000762,server to client
0,36,2026-02-13 11:18:25.338827,192.168.56.102,192.168.56.103,0.024999,client to server
0,36,2026-02-13 11:18:25.339297,192.168.56.103,192.168.56.102,0.00047,server to client
0,36,2026-02-13 11:18:25.361066,192.168.56.102,192.168.56.103,0.021769,client to server
0,36,2026-02-13 11:18:25.361485,192.168.56.103,192.168.56.102,0.000419,server to client
0,36,2026-02-13 11:18:25.385169,192.168.56.102,192.168.56.103,0.023684,client to server
0,36,2026-02-13 11:18:25.385593,192.168.56.103,192.168.56.102,0.000424,server to client
0,36,2026-02-13 11:18:25.406359,192.168.56.102,192.168.56.103,0.020766,client to server
0,36,2026-02-13 11:18:25.406748,192.168.56.103,192.168.56.102,0.000389,server to client
0,36,2026-02-13 11:18:25.428984,192.168.56.102,192.168.56.103,0.022236,client to server
0,36,2026-02-13 11:18:25.429470,192.168.56.103,192.168.56.102,0.000486,server to client
0,36,2026-02-13 11:18:25.454577,192.168.56.102,192.168.56.103,0.025107,client to server
0,36,2026-02-13 11:18:25.454966,192.168.56.103,192.168.56.102,0.000389,server to client
0,0,2026-02-13 11:18:25.497960,192.168.56.102,192.168.56.103,0.042994,client to server
0,36,2026-02-13 11:18:25.498978,192.168.56.102,192.168.56.103,0.001018,client to server
0,36,2026-02-13 11:18:25.499337,192.168.56.103,192.168.56.102,0.000359,server to client
0,0,2026-02-13 11:18:25.501847,192.168.56.102,192.168.56.103,0.00251,client to server
