packet_length,timestamp,source_ip,destination_ip,time_difference,direction
102,2026-02-12 18:27:12.761091,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.780517,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.780838,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.801678,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.802067,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.820855,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.821172,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.841339,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.842087,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.863206,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.863673,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.882725,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.883407,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.902641,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.903045,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.923294,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.923673,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.943707,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.944224,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.964244,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.964583,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:12.982989,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:12.983523,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.004716,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.007261,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.029981,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.032838,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.048725,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.049043,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.068631,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.069221,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.088612,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.089747,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.109276,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.109835,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.131545,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.132302,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.150910,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.151714,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.172486,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.172865,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.194384,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.194888,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.215401,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.216401,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.236258,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.236622,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.255571,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.257505,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.275904,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.276842,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.296689,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.297746,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.316546,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.317264,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.338196,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.339286,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.361856,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.362764,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.380858,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.382595,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.401638,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.402010,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.422570,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.423508,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.444276,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.444701,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.463723,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.464196,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.484207,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.484690,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.505737,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.506582,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.526676,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.527436,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.548165,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.548900,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.569427,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.569827,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.589746,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.590631,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.609605,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.610543,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.630354,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.630874,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.650048,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.651075,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.670715,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.671650,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.692570,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.693791,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.712726,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.713707,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.733103,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.733928,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.751825,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.752628,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.771910,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.772628,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.793992,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.795393,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.813377,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.813816,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.833376,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.834280,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.853745,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:13.854530,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:13.874719,192.168.56.102,192.168.56.103,0,server to client
